Year,district_name,CH_nonCH,Total
2001,Fluntern,Foreign,1547
2001,Fluntern,Swiss,5674
2001,Friesenberg,Foreign,2224
2001,Friesenberg,Swiss,7818
2001,Gewerbeschule,Foreign,4162
2001,Gewerbeschule,Swiss,5673
2001,Hard,Foreign,6150
2001,Hard,Swiss,6691
2001,Hirslanden,Foreign,1202
2001,Hirslanden,Swiss,5598
2001,Hirzenbach,Foreign,3817
2001,Hirzenbach,Swiss,7485
2001,Hochschulen,Foreign,188
2001,Hochschulen,Swiss,550
2001,Hottingen,Foreign,2082
2001,Hottingen,Swiss,8014
2001,Höngg,Foreign,3915
2001,Höngg,Swiss,16673
2001,Langstrasse,Foreign,4182
2001,Langstrasse,Swiss,6094
2001,Leimbach,Foreign,1038
2001,Leimbach,Swiss,3630
2001,Lindenhof,Foreign,155
2001,Lindenhof,Swiss,793
2001,Mühlebach,Foreign,1143
2001,Mühlebach,Swiss,4343
2001,Oberstrass,Foreign,2191
2001,Oberstrass,Swiss,7573
2001,Oerlikon,Foreign,5928
2001,Oerlikon,Swiss,12295
2001,Rathaus,Foreign,615
2001,Rathaus,Swiss,2488
2001,Saatlen,Foreign,1841
2001,Saatlen,Swiss,4545
2001,Schwamendingen-Mitte,Foreign,4042
2001,Schwamendingen-Mitte,Swiss,6388
2001,Seebach,Foreign,6227
2001,Seebach,Swiss,11876
2001,Seefeld,Foreign,1249
2001,Seefeld,Swiss,3776
2001,Sihlfeld,Foreign,7548
2001,Sihlfeld,Swiss,13156
2001,Unterstrass,Foreign,4386
2001,Unterstrass,Swiss,15445
2001,Weinegg,Foreign,1271
2001,Weinegg,Swiss,3545
2001,Werd,Foreign,1321
2001,Werd,Swiss,2517
2001,Wipkingen,Foreign,4918
2001,Wipkingen,Swiss,10649
2001,Witikon,Foreign,1500
2001,Witikon,Swiss,8059
2001,Wollishofen,Foreign,3623
2001,Wollishofen,Swiss,12305
2002,Affoltern,Foreign,5642
2002,Affoltern,Swiss,13063
2002,Albisrieden,Foreign,4021
2002,Albisrieden,Swiss,12648
2002,Alt-Wiedikon,Foreign,4935
2002,Alt-Wiedikon,Swiss,9876
2002,Altstetten,Foreign,10869
2002,Altstetten,Swiss,17907
2002,City,Foreign,228
2002,City,Swiss,682
2002,Enge,Foreign,2018
2002,Enge,Swiss,6261
2002,Escher Wyss,Foreign,698
2002,Escher Wyss,Swiss,1818
2002,Fluntern,Foreign,1542
2002,Fluntern,Swiss,5527
2002,Friesenberg,Foreign,2362
2002,Friesenberg,Swiss,7826
2002,Gewerbeschule,Foreign,4152
2002,Gewerbeschule,Swiss,5748
2002,Hard,Foreign,6158
2002,Hard,Swiss,6698
2002,Hirslanden,Foreign,1219
2002,Hirslanden,Swiss,5562
2002,Hirzenbach,Foreign,4000
2002,Hirzenbach,Swiss,7434
2002,Hochschulen,Foreign,187
2002,Hochschulen,Swiss,540
2002,Hottingen,Foreign,2052
2002,Hottingen,Swiss,7969
2002,Höngg,Foreign,3932
2002,Höngg,Swiss,16638
2002,Langstrasse,Foreign,4365
2002,Langstrasse,Swiss,6082
2002,Leimbach,Foreign,1055
2002,Leimbach,Swiss,3626
2002,Lindenhof,Foreign,169
2002,Lindenhof,Swiss,781
2002,Mühlebach,Foreign,1165
2002,Mühlebach,Swiss,4285
2002,Oberstrass,Foreign,2196
2002,Oberstrass,Swiss,7529
2002,Oerlikon,Foreign,6207
2002,Oerlikon,Swiss,12571
2002,Rathaus,Foreign,653
2002,Rathaus,Swiss,2475
2002,Saatlen,Foreign,2004
2002,Saatlen,Swiss,4659
2002,Schwamendingen-Mitte,Foreign,4061
2002,Schwamendingen-Mitte,Swiss,6312
2002,Seebach,Foreign,6627
2002,Seebach,Swiss,12345
2002,Seefeld,Foreign,1411
2002,Seefeld,Swiss,3711
2002,Sihlfeld,Foreign,7663
2002,Sihlfeld,Swiss,13068
2002,Unterstrass,Foreign,4529
2002,Unterstrass,Swiss,15334
2002,Weinegg,Foreign,1272
2002,Weinegg,Swiss,3504
2002,Werd,Foreign,1316
2002,Werd,Swiss,2534
2002,Wipkingen,Foreign,4944
2002,Wipkingen,Swiss,10551
2002,Witikon,Foreign,1548
2002,Witikon,Swiss,8023
2002,Wollishofen,Foreign,3601
2002,Wollishofen,Swiss,12170
2003,Affoltern,Foreign,5710
2003,Affoltern,Swiss,13077
2003,Albisrieden,Foreign,4180
2003,Albisrieden,Swiss,12838
2003,Alt-Wiedikon,Foreign,4683
2003,Alt-Wiedikon,Swiss,9776
2003,Altstetten,Foreign,10583
2003,Altstetten,Swiss,17740
2003,City,Foreign,236
2003,City,Swiss,650
2003,Enge,Foreign,2024
2003,Enge,Swiss,6204
2003,Escher Wyss,Foreign,641
2003,Escher Wyss,Swiss,1824
2003,Fluntern,Foreign,1543
2003,Fluntern,Swiss,5559
2003,Friesenberg,Foreign,2337
2003,Friesenberg,Swiss,8050
2003,Gewerbeschule,Foreign,4020
2003,Gewerbeschule,Swiss,5761
2003,Hard,Foreign,6087
2003,Hard,Swiss,6730
2003,Hirslanden,Foreign,1233
2003,Hirslanden,Swiss,5562
2003,Hirzenbach,Foreign,4100
2003,Hirzenbach,Swiss,7332
2003,Hochschulen,Foreign,197
2003,Hochschulen,Swiss,526
2003,Hottingen,Foreign,2151
2003,Hottingen,Swiss,7866
2003,Höngg,Foreign,4045
2003,Höngg,Swiss,16765
2003,Langstrasse,Foreign,4305
2003,Langstrasse,Swiss,5999
