Year,district_name,Total
2014,Unterstrass,22126
2014,Weinegg,5036
2014,Werd,4428
2014,Wipkingen,15717
2014,Witikon,10406
2014,Wollishofen,16137
2015,Affoltern,25874
2015,Albisrieden,19325
2015,Alt-Wiedikon,17158
2015,Altstetten,32003
2015,City,805
2015,Enge,9257
2015,Escher Wyss,5457
2015,Fluntern,7953
2015,Friesenberg,10698
2015,Gewerbeschule,9608
2015,Hard,13072
2015,Hirslanden,7380
2015,Hirzenbach,11930
2015,Hochschulen,641
2015,Hottingen,11081
2015,Höngg,22320
2015,Langstrasse,11169
2015,Leimbach,6102
2015,Lindenhof,974
2015,Mühlebach,6116
2015,Oberstrass,10641
2015,Oerlikon,21966
2015,Rathaus,3197
2015,Saatlen,8508
2015,Schwamendingen-Mitte,11315
2015,Seebach,24991
2015,Seefeld,4990
2015,Sihlfeld,21339
2015,Unterstrass,22226
2015,Weinegg,5086
2015,Werd,4460
2015,Wipkingen,15879
2015,Witikon,10639
2015,Wollishofen,16244
2016,Affoltern,26054
2016,Albisrieden,21174
2016,Alt-Wiedikon,17321
2016,Altstetten,31724
2016,City,810
2016,Enge,9422
2016,Escher Wyss,5825
2016,Fluntern,8038
2016,Friesenberg,11002
2016,Gewerbeschule,9598
2016,Hard,12891
2016,Hirslanden,7321
2016,Hirzenbach,12463
2016,Hochschulen,640
2016,Hottingen,11113
2016,Höngg,23423
2016,Langstrasse,11145
2016,Leimbach,6173
2016,Lindenhof,972
2016,Mühlebach,6137
2016,Oberstrass,10794
2016,Oerlikon,22161
2016,Rathaus,3226
2016,Saatlen,8283
2016,Schwamendingen-Mitte,11076
2016,Seebach,25198
2016,Seefeld,5046
2016,Sihlfeld,21177
2016,Unterstrass,22476
2016,Weinegg,5030
2016,Werd,4594
2016,Wipkingen,16141
2016,Witikon,10667
2016,Wollishofen,16567
