Year,borough_code,borough_name,tax_code,tax_class,tax_wealth_p50,tax_wealth_p25,tax_wealth_p75
2002,101,Höngg,1,couple rate,170.0,39.0,496.0
2002,101,Höngg,2,single parent family rate,21.0,0.0,88.0
2002,102,Wipkingen,0,base rate,23.0,0.0,102.0
2002,102,Wipkingen,1,couple rate,66.0,0.0,260.0
2002,102,Wipkingen,2,single parent family rate,7.0,0.0,46.0
2002,111,Affoltern,0,base rate,17.0,0.0,85.0
2002,111,Affoltern,1,couple rate,73.0,4.0,232.0
2002,111,Affoltern,2,single parent family rate,3.0,0.0,37.0
2002,115,Oerlikon,0,base rate,21.0,0.0,109.0
2002,115,Oerlikon,1,couple rate,82.0,2.0,308.0
2002,115,Oerlikon,2,single parent family rate,4.0,0.0,46.0
2002,119,Seebach,0,base rate,13.0,0.0,83.0
2002,119,Seebach,1,couple rate,50.0,0.0,218.0
2002,119,Seebach,2,single parent family rate,1.0,0.0,26.0
2002,121,Saatlen,0,base rate,12.0,0.0,67.0
2002,121,Saatlen,1,couple rate,37.0,0.0,148.0
2002,121,Saatlen,2,single parent family rate,0.5,0.0,21.0
2002,122,Schwamendingen-Mitte,0,base rate,15.0,0.0,88.0
2002,122,Schwamendingen-Mitte,1,couple rate,43.0,0.0,198.0
2002,122,Schwamendingen-Mitte,2,single parent family rate,0.0,0.0,14.0
2002,123,Hirzenbach,0,base rate,15.0,0.0,74.0
2002,123,Hirzenbach,1,couple rate,44.0,0.0,169.16
2002,123,Hirzenbach,2,single parent family rate,0.0,0.0,21.0
2003,11,Rathaus,0,base rate,23.0,0.0,157.0
2003,11,Rathaus,1,couple rate,221.0,23.0,718.0
2003,11,Rathaus,2,single parent family rate,54.0,0.0,185.0
2003,12,Hochschulen,0,base rate,40.0,0.0,260.0
2003,12,Hochschulen,1,couple rate,299.0,55.0,1077.0
2003,12,Hochschulen,2,single parent family rate,118.0,0.0,520.0
2003,13,Lindenhof,0,base rate,56.0,4.0,306.0
2003,13,Lindenhof,1,couple rate,288.0,54.0,1236.0
2003,13,Lindenhof,2,single parent family rate,49.0,0.0,417.0
2003,14,City,0,base rate,14.0,0.0,85.0
2003,14,City,1,couple rate,79.0,7.0,323.0
2003,14,City,2,single parent family rate,11.0,0.0,30.0
2003,21,Wollishofen,0,base rate,35.0,3.0,177.0
2003,21,Wollishofen,1,couple rate,151.0,29.0,448.0
2003,21,Wollishofen,2,single parent family rate,12.5,0.0,71.0
2003,23,Leimbach,0,base rate,31.0,2.0,158.0
2003,23,Leimbach,1,couple rate,110.0,15.0,363.0
2003,23,Leimbach,2,single parent family rate,8.0,0.0,61.0
2003,24,Enge,0,base rate,36.0,2.0,202.0
2003,24,Enge,1,couple rate,216.5,29.0,780.5
2003,24,Enge,2,single parent family rate,17.0,0.0,138.0
2003,31,Alt-Wiedikon,0,base rate,23.0,0.0,110.0
2003,31,Alt-Wiedikon,1,couple rate,61.0,0.0,259.0
2003,31,Alt-Wiedikon,2,single parent family rate,2.0,0.0,46.0
2003,33,Friesenberg,0,base rate,19.0,0.0,96.0
2003,33,Friesenberg,1,couple rate,75.0,9.0,207.0
2003,33,Friesenberg,2,single parent family rate,6.0,0.0,39.5
2003,34,Sihlfeld,0,base rate,17.0,0.0,90.0
2003,34,Sihlfeld,1,couple rate,28.0,0.0,180.0
2003,34,Sihlfeld,2,single parent family rate,1.0,0.0,30.0
2003,41,Werd,0,base rate,13.0,0.0,74.0
2003,41,Werd,1,couple rate,21.5,0.0,159.0
2003,41,Werd,2,single parent family rate,0.0,0.0,72.0
2003,42,Langstrasse,0,base rate,5.0,0.0,46.0
2003,42,Langstrasse,1,couple rate,4.0,0.0,90.5
