Year,district_name,gender,Total
2000,Unterstrass,F,10538
2000,Unterstrass,M,9395
2000,Weinegg,F,2596
2000,Weinegg,M,2208
2000,Werd,F,1872
2000,Werd,M,2045
2000,Wipkingen,F,8163
2000,Wipkingen,M,7541
2000,Witikon,F,5323
2000,Witikon,M,4221
2000,Wollishofen,F,8691
2000,Wollishofen,M,7411
2001,Affoltern,F,9605
2001,Affoltern,M,9088
2001,Albisrieden,F,8929
2001,Albisrieden,M,7685
2001,Alt-Wiedikon,F,7388
2001,Alt-Wiedikon,M,7304
2001,Altstetten,F,14607
2001,Altstetten,M,14176
2001,City,F,424
2001,City,M,483
2001,Enge,F,4155
2001,Enge,M,3947
2001,Escher Wyss,F,961
2001,Escher Wyss,M,1172
2001,Fluntern,F,3926
2001,Fluntern,M,3295
2001,Friesenberg,F,5252
2001,Friesenberg,M,4790
2001,Gewerbeschule,F,4247
2001,Gewerbeschule,M,5588
2001,Hard,F,6456
2001,Hard,M,6385
2001,Hirslanden,F,3827
2001,Hirslanden,M,2973
2001,Hirzenbach,F,5981
2001,Hirzenbach,M,5321
2001,Hochschulen,F,335
2001,Hochschulen,M,403
2001,Hottingen,F,5496
2001,Hottingen,M,4600
2001,Höngg,F,10937
2001,Höngg,M,9651
2001,Langstrasse,F,4480
2001,Langstrasse,M,5796
2001,Leimbach,F,2469
2001,Leimbach,M,2199
2001,Lindenhof,F,472
2001,Lindenhof,M,476
2001,Mühlebach,F,2910
2001,Mühlebach,M,2576
2001,Oberstrass,F,5114
2001,Oberstrass,M,4650
2001,Oerlikon,F,9231
2001,Oerlikon,M,8992
2001,Rathaus,F,1399
2001,Rathaus,M,1704
2001,Saatlen,F,3304
2001,Saatlen,M,3082
2001,Schwamendingen-Mitte,F,5469
2001,Schwamendingen-Mitte,M,4961
2001,Seebach,F,9169
2001,Seebach,M,8934
2001,Seefeld,F,2536
2001,Seefeld,M,2489
2001,Sihlfeld,F,10654
2001,Sihlfeld,M,10050
2001,Unterstrass,F,10473
2001,Unterstrass,M,9358
2001,Weinegg,F,2587
2001,Weinegg,M,2229
2001,Werd,F,1823
2001,Werd,M,2015
2001,Wipkingen,F,8114
2001,Wipkingen,M,7453
2001,Witikon,F,5323
2001,Witikon,M,4236
2001,Wollishofen,F,8613
2001,Wollishofen,M,7315
2002,Affoltern,F,9566
2002,Affoltern,M,9139
2002,Albisrieden,F,8933
2002,Albisrieden,M,7736
2002,Alt-Wiedikon,F,7438
2002,Alt-Wiedikon,M,7373
2002,Altstetten,F,14539
